,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
794,10,1.0,Mixing,A_r,2.083333333333333,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,2
795,10,1.0,Mixing,B_r,6.25,6,6,3,3,2,2,6,6,6,6,6,6,6,6,6,6,4,6,0,0,0,6
796,10,1.0,Mixing,Fishy,3.125,3,3,0,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3
797,10,1.0,Mixing,UI,79.16666666666666,76,76,19,19,24,15,76,76,76,65,76,76,76,76,65,65,55,76,11,11,11,76
798,10,1.0,Mixing,WT,9.375,9,9,2,2,2,4,9,9,9,2,9,9,9,9,2,2,7,9,7,7,7,9
799,10,1.0,Mono A,A_r,36.45833333333333,35,35,17,17,9,8,35,35,35,32,35,35,35,35,32,32,27,35,3,3,3,35
800,10,1.0,Mono A,UI,62.5,60,60,7,7,20,15,60,60,60,46,60,60,60,60,46,46,42,60,14,14,14,60
801,10,1.0,Mono A,WT,1.0416666666666665,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
802,10,1.0,Mono B,B_r,26.041666666666668,25,25,8,8,7,5,25,25,25,22,25,25,25,25,22,22,15,25,3,3,3,25
803,10,1.0,Mono B,UI,68.75,66,66,15,15,23,16,66,66,66,56,66,66,66,66,56,56,52,66,10,10,10,66
804,10,1.0,Mono B,WT,5.208333333333334,5,5,1,1,0,2,5,5,5,0,5,5,5,5,0,0,3,5,5,5,5,5
805,10,1.0,No treatment,AB_r,7.291666666666667,7,7,2,2,3,2,7,7,7,7,7,7,7,7,7,7,4,7,0,0,0,7
806,10,1.0,No treatment,A_r,26.041666666666668,25,25,14,14,6,6,25,25,25,21,25,25,25,25,21,21,20,25,4,4,4,25
807,10,1.0,No treatment,B_r,14.583333333333334,14,14,3,3,4,1,14,14,14,13,14,14,14,14,13,13,9,14,1,1,1,14
808,10,1.0,No treatment,Fishy,1.0416666666666665,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
809,10,1.0,No treatment,UI,6.25,6,6,0,0,2,1,6,6,6,3,6,6,6,6,3,3,5,6,3,3,3,6
810,10,1.0,No treatment,WT,44.79166666666667,43,43,4,4,15,13,43,43,43,33,43,43,43,43,33,33,31,43,10,10,10,43
811,10,2.0,Combo,UI,96.875,93,93,24,24,30,21,93,93,93,78,93,93,93,93,78,78,69,93,15,15,15,93
812,10,2.0,Combo,WT,3.125,3,3,0,0,0,2,3,3,3,0,3,3,3,3,0,0,1,3,3,3,3,3
813,10,2.0,Cycling,A_r,2.083333333333333,2,2,1,1,0,0,2,2,2,1,2,2,2,2,1,1,0,2,1,1,1,2
814,10,2.0,Cycling,UI,97.91666666666666,94,94,23,23,30,23,94,94,94,77,94,94,94,94,77,77,70,94,17,17,17,94
815,10,2.0,Mixing,A_r,3.125,3,3,1,1,0,1,3,3,3,3,3,3,3,3,3,3,2,3,0,0,0,3
816,10,2.0,Mixing,B_r,7.291666666666667,7,7,3,3,3,2,7,7,7,7,7,7,7,7,7,7,5,7,0,0,0,7
