ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_C5,1,53,C,5,2,0,15,0,A_r,none,t0_S_G9,,,,t1_P1_C5,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_C6,1,54,C,6,2,2,15,0,A_r,none,t0_S_G10,,,,t1_P1_C6,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_D5,1,77,D,5,2,1,15,0,A_r,none,t0_S_H9,,,,t1_P1_D5,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_D6,1,78,D,6,2,3,15,0,A_r,none,t0_S_H10,,,,t1_P1_D6,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_C7,1,55,C,7,2,0,16,0,B_r,none,t0_S_G13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C8,1,56,C,8,2,2,16,0,B_r,none,t0_S_G14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D7,1,79,D,7,2,1,16,0,B_r,none,t0_S_H13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D8,1,80,D,8,2,3,16,0,B_r,none,t0_S_H14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C9,1,57,C,9,2,0,17,0,A_r,none,t0_S_G9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_C10,1,58,C,10,2,2,17,0,A_r,none,t0_S_G10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_D9,1,81,D,9,2,1,17,0,A_r,none,t0_S_H9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_D10,1,82,D,10,2,3,17,0,A_r,none,t0_S_H10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_C11,1,59,C,11,2,0,18,0,B_r,none,t0_S_G13,,,,t1_P1_C11,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C12,1,60,C,12,2,2,18,0,B_r,none,t0_S_G14,,,,t1_P1_C12,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D11,1,83,D,11,2,1,18,0,B_r,none,t0_S_H13,,,,t1_P1_D11,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D12,1,84,D,12,2,3,18,0,B_r,none,t0_S_H14,,,,t1_P1_D12,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C13,1,61,C,13,2,0,19,0,B_r,none,t0_S_G13,,,,t1_P1_C13,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C14,1,62,C,14,2,2,19,0,B_r,none,t0_S_G14,,,,t1_P1_C14,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D13,1,85,D,13,2,1,19,0,B_r,none,t0_S_H13,,,,t1_P1_D13,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D14,1,86,D,14,2,3,19,0,B_r,none,t0_S_H14,,,,t1_P1_D14,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C15,1,63,C,15,2,0,20,0,B_r,none,t0_S_G13,30.0,t1_P1_E11,,t1_P1_C15,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C16,1,64,C,16,2,2,20,0,B_r,none,t0_S_G14,30.0,t1_P1_E12,,t1_P1_C16,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D15,1,87,D,15,2,1,20,0,B_r,none,t0_S_H13,30.0,t1_P1_F11,,t1_P1_D15,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D16,1,88,D,16,2,3,20,0,B_r,none,t0_S_H14,30.0,t1_P1_F12,,t1_P1_D16,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C17,1,65,C,17,2,0,21,0,B_r,none,t0_S_G13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C18,1,66,C,18,2,2,21,0,B_r,none,t0_S_G14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D17,1,89,D,17,2,1,21,0,B_r,none,t0_S_H13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D18,1,90,D,18,2,3,21,0,B_r,none,t0_S_H14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
