transfer,run,desc,plate_n,barcode,ab
10,1,assay,1,2022042301,N
10,1,assay,2,2022042302,N
10,1,assay,3,2022042303,N
10,1,assay,4,2022042304,N
10,1,assay,5,2022042305,N
10,1,assay,6,2022042306,N
10,1,agar,1,2022042307,N
10,1,agar,2,2022042308,N
10,1,agar,3,2022042309,N
10,1,agar,4,2022042310,N
10,1,agar,5,2022042311,N
10,1,agar,6,2022042312,N
10,1,agar,1,2022042313,A
10,1,agar,2,2022042314,A
10,1,agar,3,2022042315,A
10,1,agar,4,2022042316,A
10,1,agar,5,2022042317,A
10,1,agar,6,2022042318,A
10,1,agar,1,2022042319,B
10,1,agar,2,2022042320,B
10,1,agar,3,2022042321,B
10,1,agar,4,2022042322,B
10,1,agar,5,2022042323,B
10,1,agar,6,2022042324,B
10,1,agar,1,2022042325,AB
10,1,agar,2,2022042326,AB
10,1,agar,3,2022042327,AB
10,1,agar,4,2022042328,AB
10,1,agar,5,2022042329,AB
10,1,agar,6,2022042330,AB
11,1,on,1,2022042331,N
10,1,test,1,2022042332,N
10,1,test,1,2022042333,A
10,1,test,1,2022042334,B
10,1,test,1,2022042335,AB
11,1,assay,1,2022042401,N
11,1,assay,2,2022042402,N
11,1,assay,3,2022042403,N
11,1,assay,4,2022042404,N
11,1,assay,5,2022042405,N
11,1,assay,6,2022042406,N
11,1,agar,1,2022042407,N
11,1,agar,2,2022042408,N
11,1,agar,3,2022042409,N
11,1,agar,4,2022042410,N
11,1,agar,5,2022042411,N
11,1,agar,6,2022042412,N
11,1,agar,1,2022042413,A
11,1,agar,2,2022042414,A
11,1,agar,3,2022042415,A
11,1,agar,4,2022042416,A
11,1,agar,5,2022042417,A
11,1,agar,6,2022042418,A
11,1,agar,1,2022042419,B
11,1,agar,2,2022042420,B
11,1,agar,3,2022042421,B
11,1,agar,4,2022042422,B
11,1,agar,5,2022042423,B
11,1,agar,6,2022042424,B
11,1,agar,1,2022042425,AB
11,1,agar,2,2022042426,AB
11,1,agar,3,2022042427,AB
11,1,agar,4,2022042428,AB
11,1,agar,5,2022042429,AB
11,1,agar,6,2022042430,AB
12,1,on,1,2022042431,N
11,1,test,1,2022042432,N
11,1,test,1,2022042433,A
11,1,test,1,2022042434,B
11,1,test,1,2022042435,AB
12,1,assay,1,2022042501,N
12,1,assay,2,2022042502,N
12,1,assay,3,2022042503,N
12,1,assay,4,2022042504,N
12,1,assay,5,2022042505,N
12,1,assay,6,2022042506,N
12,1,agar,1,2022042507,N
12,1,agar,2,2022042508,N
12,1,agar,3,2022042509,N
12,1,agar,4,2022042510,N
12,1,agar,5,2022042511,N
12,1,agar,6,2022042512,N
12,1,agar,1,2022042513,A
12,1,agar,2,2022042514,A
12,1,agar,3,2022042515,A
12,1,agar,4,2022042516,A
12,1,agar,5,2022042517,A
12,1,agar,6,2022042518,A
12,1,agar,1,2022042519,B
12,1,agar,2,2022042520,B
12,1,agar,3,2022042521,B
12,1,agar,4,2022042522,B
12,1,agar,5,2022042523,B
12,1,agar,6,2022042524,B
12,1,agar,1,2022042525,AB
12,1,agar,2,2022042526,AB
12,1,agar,3,2022042527,AB
12,1,agar,4,2022042528,AB
12,1,agar,5,2022042529,AB
12,1,agar,6,2022042530,AB
13,1,on,1,2022042531,N
12,1,test,1,2022042532,N
12,1,test,1,2022042533,A
12,1,test,1,2022042534,B
12,1,test,1,2022042535,AB
13,1,assay,1,2022042601,N
13,1,assay,2,2022042602,N
13,1,assay,3,2022042603,N
13,1,assay,4,2022042604,N
13,1,assay,5,2022042605,N
13,1,assay,6,2022042606,N
13,1,agar,1,2022042607,N
13,1,agar,2,2022042608,N
13,1,agar,3,2022042609,N
13,1,agar,4,2022042610,N
13,1,agar,5,2022042611,N
13,1,agar,6,2022042612,N
13,1,agar,1,2022042613,A
13,1,agar,2,2022042614,A
13,1,agar,3,2022042615,A
13,1,agar,4,2022042616,A
13,1,agar,5,2022042617,A
13,1,agar,6,2022042618,A
13,1,agar,1,2022042619,B
13,1,agar,2,2022042620,B
13,1,agar,3,2022042621,B
13,1,agar,4,2022042622,B
13,1,agar,5,2022042623,B
13,1,agar,6,2022042624,B
