ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_B8,1,32,B,8,1,3,4,0,wt,none,t0_S_B8,,,,t1_P1_B8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A9,1,9,A,9,1,0,5,0,wt,none,t0_S_A7,,,,t1_P1_A9,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A10,1,10,A,10,1,2,5,0,wt,none,t0_S_A8,,,,t1_P1_A10,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B9,1,33,B,9,1,1,5,0,wt,none,t0_S_B7,,,,t1_P1_B9,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B10,1,34,B,10,1,3,5,0,wt,none,t0_S_B8,,,,t1_P1_B10,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A11,1,11,A,11,1,0,6,0,wt,none,t0_S_A7,,,,t1_P1_A11,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A12,1,12,A,12,1,2,6,0,wt,none,t0_S_A8,,,,t1_P1_A12,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B11,1,35,B,11,1,1,6,0,wt,none,t0_S_B7,,,,t1_P1_B11,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B12,1,36,B,12,1,3,6,0,wt,none,t0_S_B8,,,,t1_P1_B12,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A13,1,13,A,13,1,0,7,0,wt,none,t0_S_A7,12.0,t1_P1_A23,,t1_P1_A13,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A14,1,14,A,14,1,2,7,0,wt,none,t0_S_A8,12.0,t1_P1_A24,,t1_P1_A14,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B13,1,37,B,13,1,1,7,0,wt,none,t0_S_B7,12.0,t1_P1_B23,,t1_P1_B13,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B14,1,38,B,14,1,3,7,0,wt,none,t0_S_B8,12.0,t1_P1_B24,,t1_P1_B14,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A15,1,15,A,15,1,0,8,0,wt,none,t0_S_A7,26.0,t1_P1_E3,,t1_P1_A15,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A16,1,16,A,16,1,2,8,0,wt,none,t0_S_A8,26.0,t1_P1_E4,,t1_P1_A16,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B15,1,39,B,15,1,1,8,0,wt,none,t0_S_B7,26.0,t1_P1_F3,,t1_P1_B15,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B16,1,40,B,16,1,3,8,0,wt,none,t0_S_B8,26.0,t1_P1_F4,,t1_P1_B16,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A17,1,17,A,17,1,0,9,0,wt,none,t0_S_A7,,,,t1_P1_A17,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A18,1,18,A,18,1,2,9,0,wt,none,t0_S_A8,,,,t1_P1_A18,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B17,1,41,B,17,1,1,9,0,wt,none,t0_S_B7,,,,t1_P1_B17,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B18,1,42,B,18,1,3,9,0,wt,none,t0_S_B8,,,,t1_P1_B18,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A19,1,19,A,19,1,0,10,0,wt,none,t0_S_A7,,,,t1_P1_A19,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A20,1,20,A,20,1,2,10,0,wt,none,t0_S_A8,,,,t1_P1_A20,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B19,1,43,B,19,1,1,10,0,wt,none,t0_S_B7,,,,t1_P1_B19,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B20,1,44,B,20,1,3,10,0,wt,none,t0_S_B8,,,,t1_P1_B20,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A21,1,21,A,21,1,0,11,0,A_r,none,t0_S_A3,,,,t1_P1_A21,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_A22,1,22,A,22,1,2,11,0,A_r,none,t0_S_A4,,,,t1_P1_A22,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_B21,1,45,B,21,1,1,11,0,A_r,none,t0_S_B3,,,,t1_P1_B21,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_B22,1,46,B,22,1,3,11,0,A_r,none,t0_S_B4,,,,t1_P1_B22,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_A23,1,23,A,23,1,0,12,0,wt,none,t0_S_A7,,,,t1_P1_A23,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_A24,1,24,A,24,1,2,12,0,wt,none,t0_S_A8,,,,t1_P1_A24,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B23,1,47,B,23,1,1,12,0,wt,none,t0_S_B7,,,,t1_P1_B23,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_B24,1,48,B,24,1,3,12,0,wt,none,t0_S_B8,,,,t1_P1_B24,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C1,1,49,C,1,2,0,13,0,B_r,none,t0_S_A5,,,,t1_P1_C1,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C2,1,50,C,2,2,2,13,0,B_r,none,t0_S_A6,,,,t1_P1_C2,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D1,1,73,D,1,2,1,13,0,B_r,none,t0_S_B5,,,,t1_P1_D1,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_D2,1,74,D,2,2,3,13,0,B_r,none,t0_S_B6,,,,t1_P1_D2,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_C3,1,51,C,3,2,0,14,0,wt,none,t0_S_A7,62.0,t1_P1_K3,,t1_P1_C3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C4,1,52,C,4,2,2,14,0,wt,none,t0_S_A8,62.0,t1_P1_K4,,t1_P1_C4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D3,1,75,D,3,2,1,14,0,wt,none,t0_S_B7,62.0,t1_P1_L3,,t1_P1_D3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D4,1,76,D,4,2,3,14,0,wt,none,t0_S_B8,62.0,t1_P1_L4,,t1_P1_D4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C5,1,53,C,5,2,0,15,0,wt,none,t0_S_A7,39.0,t1_P1_G5,,t1_P1_C5,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C6,1,54,C,6,2,2,15,0,wt,none,t0_S_A8,39.0,t1_P1_G6,,t1_P1_C6,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D5,1,77,D,5,2,1,15,0,wt,none,t0_S_B7,39.0,t1_P1_H5,,t1_P1_D5,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D6,1,78,D,6,2,3,15,0,wt,none,t0_S_B8,39.0,t1_P1_H6,,t1_P1_D6,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C7,1,55,C,7,2,0,16,0,wt,none,t0_S_A7,62.0,t1_P1_K3,,t1_P1_C7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C8,1,56,C,8,2,2,16,0,wt,none,t0_S_A8,62.0,t1_P1_K4,,t1_P1_C8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D7,1,79,D,7,2,1,16,0,wt,none,t0_S_B7,62.0,t1_P1_L3,,t1_P1_D7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D8,1,80,D,8,2,3,16,0,wt,none,t0_S_B8,62.0,t1_P1_L4,,t1_P1_D8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C9,1,57,C,9,2,0,17,0,wt,none,t0_S_A7,92.0,t1_P1_O15,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C10,1,58,C,10,2,2,17,0,wt,none,t0_S_A8,92.0,t1_P1_O16,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D9,1,81,D,9,2,1,17,0,wt,none,t0_S_B7,92.0,t1_P1_P15,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D10,1,82,D,10,2,3,17,0,wt,none,t0_S_B8,92.0,t1_P1_P16,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C11,1,59,C,11,2,0,18,0,wt,none,t0_S_A7,,,,t1_P1_C11,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C12,1,60,C,12,2,2,18,0,wt,none,t0_S_A8,,,,t1_P1_C12,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D11,1,83,D,11,2,1,18,0,wt,none,t0_S_B7,,,,t1_P1_D11,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D12,1,84,D,12,2,3,18,0,wt,none,t0_S_B8,,,,t1_P1_D12,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C13,1,61,C,13,2,0,19,0,wt,none,t0_S_A7,,,,t1_P1_C13,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C14,1,62,C,14,2,2,19,0,wt,none,t0_S_A8,,,,t1_P1_C14,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D13,1,85,D,13,2,1,19,0,wt,none,t0_S_B7,,,,t1_P1_D13,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D14,1,86,D,14,2,3,19,0,wt,none,t0_S_B8,,,,t1_P1_D14,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C15,1,63,C,15,2,0,20,0,wt,none,t0_S_A7,,,,t1_P1_C15,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C16,1,64,C,16,2,2,20,0,wt,none,t0_S_A8,,,,t1_P1_C16,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D15,1,87,D,15,2,1,20,0,wt,none,t0_S_B7,,,,t1_P1_D15,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D16,1,88,D,16,2,3,20,0,wt,none,t0_S_B8,,,,t1_P1_D16,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C17,1,65,C,17,2,0,21,0,wt,none,t0_S_A7,45.0,t1_P1_G17,,t1_P1_C17,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C18,1,66,C,18,2,2,21,0,wt,none,t0_S_A8,45.0,t1_P1_G18,,t1_P1_C18,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D17,1,89,D,17,2,1,21,0,wt,none,t0_S_B7,45.0,t1_P1_H17,,t1_P1_D17,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D18,1,90,D,18,2,3,21,0,wt,none,t0_S_B8,45.0,t1_P1_H18,,t1_P1_D18,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C19,1,67,C,19,2,0,22,0,wt,none,t0_S_A7,,,,t1_P1_C19,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C20,1,68,C,20,2,2,22,0,wt,none,t0_S_A8,,,,t1_P1_C20,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D19,1,91,D,19,2,1,22,0,wt,none,t0_S_B7,,,,t1_P1_D19,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D20,1,92,D,20,2,3,22,0,wt,none,t0_S_B8,,,,t1_P1_D20,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C21,1,69,C,21,2,0,23,0,wt,none,t0_S_A7,29.0,t1_P1_E9,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C22,1,70,C,22,2,2,23,0,wt,none,t0_S_A8,29.0,t1_P1_E10,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D21,1,93,D,21,2,1,23,0,wt,none,t0_S_B7,29.0,t1_P1_F9,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_D22,1,94,D,22,2,3,23,0,wt,none,t0_S_B8,29.0,t1_P1_F10,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_C23,1,71,C,23,2,0,24,0,UI,none,t0_S_A9,,,,t1_P1_C23,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_C24,1,72,C,24,2,2,24,0,UI,none,t0_S_A10,,,,t1_P1_C24,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_D23,1,95,D,23,2,1,24,0,UI,none,t0_S_B9,,,,t1_P1_D23,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_D24,1,96,D,24,2,3,24,0,UI,none,t0_S_B10,,,,t1_P1_D24,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_E1,1,97,E,1,3,0,25,0,wt,none,t0_S_A7,11.0,t1_P1_A21,,t1_P1_E1,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E2,1,98,E,2,3,2,25,0,wt,none,t0_S_A8,11.0,t1_P1_A22,,t1_P1_E2,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F1,1,121,F,1,3,1,25,0,wt,none,t0_S_B7,11.0,t1_P1_B21,,t1_P1_F1,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F2,1,122,F,2,3,3,25,0,wt,none,t0_S_B8,11.0,t1_P1_B22,,t1_P1_F2,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E3,1,99,E,3,3,0,26,0,wt,none,t0_S_A7,,,,t1_P1_E3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E4,1,100,E,4,3,2,26,0,wt,none,t0_S_A8,,,,t1_P1_E4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F3,1,123,F,3,3,1,26,0,wt,none,t0_S_B7,,,,t1_P1_F3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F4,1,124,F,4,3,3,26,0,wt,none,t0_S_B8,,,,t1_P1_F4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E5,1,101,E,5,3,0,27,0,UI,none,t0_S_A9,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_E6,1,102,E,6,3,2,27,0,UI,none,t0_S_A10,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_F5,1,125,F,5,3,1,27,0,UI,none,t0_S_B9,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_F6,1,126,F,6,3,3,27,0,UI,none,t0_S_B10,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_E7,1,103,E,7,3,0,28,0,wt,none,t0_S_A7,,,,t1_P1_E7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E8,1,104,E,8,3,2,28,0,wt,none,t0_S_A8,,,,t1_P1_E8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F7,1,127,F,7,3,1,28,0,wt,none,t0_S_B7,,,,t1_P1_F7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F8,1,128,F,8,3,3,28,0,wt,none,t0_S_B8,,,,t1_P1_F8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E9,1,105,E,9,3,0,29,0,wt,none,t0_S_A7,,,,t1_P1_E9,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E10,1,106,E,10,3,2,29,0,wt,none,t0_S_A8,,,,t1_P1_E10,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F9,1,129,F,9,3,1,29,0,wt,none,t0_S_B7,,,,t1_P1_F9,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F10,1,130,F,10,3,3,29,0,wt,none,t0_S_B8,,,,t1_P1_F10,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E11,1,107,E,11,3,0,30,0,B_r,none,t0_S_A5,,,,t1_P1_E11,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E12,1,108,E,12,3,2,30,0,B_r,none,t0_S_A6,,,,t1_P1_E12,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_F11,1,131,F,11,3,1,30,0,B_r,none,t0_S_B5,,,,t1_P1_F11,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_F12,1,132,F,12,3,3,30,0,B_r,none,t0_S_B6,,,,t1_P1_F12,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E13,1,109,E,13,3,0,31,0,wt,none,t0_S_A7,,,,t1_P1_E13,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E14,1,110,E,14,3,2,31,0,wt,none,t0_S_A8,,,,t1_P1_E14,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F13,1,133,F,13,3,1,31,0,wt,none,t0_S_B7,,,,t1_P1_F13,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F14,1,134,F,14,3,3,31,0,wt,none,t0_S_B8,,,,t1_P1_F14,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E15,1,111,E,15,3,0,32,0,wt,none,t0_S_A7,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E16,1,112,E,16,3,2,32,0,wt,none,t0_S_A8,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F15,1,135,F,15,3,1,32,0,wt,none,t0_S_B7,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F16,1,136,F,16,3,3,32,0,wt,none,t0_S_B8,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E17,1,113,E,17,3,0,33,0,wt,none,t0_S_A7,,,,t1_P1_E17,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E18,1,114,E,18,3,2,33,0,wt,none,t0_S_A8,,,,t1_P1_E18,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F17,1,137,F,17,3,1,33,0,wt,none,t0_S_B7,,,,t1_P1_F17,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F18,1,138,F,18,3,3,33,0,wt,none,t0_S_B8,,,,t1_P1_F18,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E19,1,115,E,19,3,0,34,0,A_r,none,t0_S_A3,9.0,t1_P1_A17,,t1_P1_E19,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E20,1,116,E,20,3,2,34,0,A_r,none,t0_S_A4,9.0,t1_P1_A18,,t1_P1_E20,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F19,1,139,F,19,3,1,34,0,A_r,none,t0_S_B3,9.0,t1_P1_B17,,t1_P1_F19,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F20,1,140,F,20,3,3,34,0,A_r,none,t0_S_B4,9.0,t1_P1_B18,,t1_P1_F20,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E21,1,117,E,21,3,0,35,0,wt,none,t0_S_A7,60.0,t1_P1_I23,,t1_P1_E21,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E22,1,118,E,22,3,2,35,0,wt,none,t0_S_A8,60.0,t1_P1_I24,,t1_P1_E22,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F21,1,141,F,21,3,1,35,0,wt,none,t0_S_B7,60.0,t1_P1_J23,,t1_P1_F21,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_F22,1,142,F,22,3,3,35,0,wt,none,t0_S_B8,60.0,t1_P1_J24,,t1_P1_F22,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_E23,1,119,E,23,3,0,36,0,UI,none,t0_S_A9,,,,t1_P1_E23,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_E24,1,120,E,24,3,2,36,0,UI,none,t0_S_A10,,,,t1_P1_E24,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_F23,1,143,F,23,3,1,36,0,UI,none,t0_S_B9,,,,t1_P1_F23,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_F24,1,144,F,24,3,3,36,0,UI,none,t0_S_B10,,,,t1_P1_F24,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_G1,1,145,G,1,4,0,37,0,wt,none,t0_S_A7,,,,t1_P1_G1,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G2,1,146,G,2,4,2,37,0,wt,none,t0_S_A8,,,,t1_P1_G2,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H1,1,169,H,1,4,1,37,0,wt,none,t0_S_B7,,,,t1_P1_H1,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H2,1,170,H,2,4,3,37,0,wt,none,t0_S_B8,,,,t1_P1_H2,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G3,1,147,G,3,4,0,38,0,wt,none,t0_S_A7,,,,t1_P1_G3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G4,1,148,G,4,4,2,38,0,wt,none,t0_S_A8,,,,t1_P1_G4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H3,1,171,H,3,4,1,38,0,wt,none,t0_S_B7,,,,t1_P1_H3,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H4,1,172,H,4,4,3,38,0,wt,none,t0_S_B8,,,,t1_P1_H4,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G5,1,149,G,5,4,0,39,0,wt,none,t0_S_A7,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G6,1,150,G,6,4,2,39,0,wt,none,t0_S_A8,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H5,1,173,H,5,4,1,39,0,wt,none,t0_S_B7,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H6,1,174,H,6,4,3,39,0,wt,none,t0_S_B8,,,,,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G7,1,151,G,7,4,0,40,0,wt,none,t0_S_A7,,,,t1_P1_G7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G8,1,152,G,8,4,2,40,0,wt,none,t0_S_A8,,,,t1_P1_G8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H7,1,175,H,7,4,1,40,0,wt,none,t0_S_B7,,,,t1_P1_H7,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H8,1,176,H,8,4,3,40,0,wt,none,t0_S_B8,,,,t1_P1_H8,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G9,1,153,G,9,4,0,41,0,UI,none,t0_S_A9,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_G10,1,154,G,10,4,2,41,0,UI,none,t0_S_A10,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_H9,1,177,H,9,4,1,41,0,UI,none,t0_S_B9,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_H10,1,178,H,10,4,3,41,0,UI,none,t0_S_B10,,,,,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_G11,1,155,G,11,4,0,42,0,wt,none,t0_S_A7,28.0,t1_P1_E7,,t1_P1_G11,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G12,1,156,G,12,4,2,42,0,wt,none,t0_S_A8,28.0,t1_P1_E8,,t1_P1_G12,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H11,1,179,H,11,4,1,42,0,wt,none,t0_S_B7,28.0,t1_P1_F7,,t1_P1_H11,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_H12,1,180,H,12,4,3,42,0,wt,none,t0_S_B8,28.0,t1_P1_F8,,t1_P1_H12,,['0' '0' '0' '1'],1,WT,No treatment
t0_P1_G13,1,157,G,13,4,0,43,0,UI,none,t0_S_A9,83.0,t1_P1_M21,,t1_P1_G13,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_G14,1,158,G,14,4,2,43,0,UI,none,t0_S_A10,83.0,t1_P1_M22,,t1_P1_G14,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_H13,1,181,H,13,4,1,43,0,UI,none,t0_S_B9,83.0,t1_P1_N21,,t1_P1_H13,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_H14,1,182,H,14,4,3,43,0,UI,none,t0_S_B10,83.0,t1_P1_N22,,t1_P1_H14,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_G15,1,159,G,15,4,0,44,0,B_r,none,t0_S_A5,,,,t1_P1_G15,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_G16,1,160,G,16,4,2,44,0,B_r,none,t0_S_A6,,,,t1_P1_G16,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H15,1,183,H,15,4,1,44,0,B_r,none,t0_S_B5,,,,t1_P1_H15,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H16,1,184,H,16,4,3,44,0,B_r,none,t0_S_B6,,,,t1_P1_H16,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_G17,1,161,G,17,4,0,45,0,UI,none,t0_S_A9,,,,t1_P1_G17,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_G18,1,162,G,18,4,2,45,0,UI,none,t0_S_A10,,,,t1_P1_G18,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_H17,1,185,H,17,4,1,45,0,UI,none,t0_S_B9,,,,t1_P1_H17,,['0' '0' '0' '0'],0,UI,No treatment
t0_P1_H18,1,186,H,18,4,3,45,0,UI,none,t0_S_B10,,,,t1_P1_H18,,['0' '0' '0' '0'],0,UI,No treatment
